 0	0	21	10	27	-158.00	 0	 0
-1	1	0	24	-160.00	 0	 0	 0
-1	2	0	16	-203.00	 0	 0	 0
-1	3	0	8	-165.00	 0	 0	 0
-1	4	0	0	-156.00	 0	 0	 0
-1	5	1	25	-160.00	 0	 0	 0
 0	5	52	32	31	-160.00	 0	 0
-1	6	2	17	-203.00	 0	 0	 0
 0	6	57	37	31	-203.00	 0	 0
 0	6	58	38	25	-203.00	 1	 0
-1	7	3	9	-165.00	 0	 0	 0
 0	7	63	43	31	-165.00	 0	 0
 0	7	64	44	25	-165.00	 1	 0
-1	8	4	1	-156.00	 0	 0	 0
 0	8	69	49	31	-156.00	 0	 0
 0	8	70	50	25	-156.00	 1	 0
-1	9	5	28	-162.00	 0	 0	 0
-1	10	5	26	-158.00	 0	 0	 0
-1	11	6	18	-201.00	 0	 0	 0
-1	12	6	28	-205.00	 0	 0	 0
-1	13	6	26	-205.00	 0	 0	 0
-1	14	7	10	-163.00	 0	 0	 0
-1	15	7	28	-167.00	 0	 0	 0
-1	16	7	26	-167.00	 0	 0	 0
-1	17	8	2	-154.00	 0	 0	 0
-1	18	8	28	-158.00	 0	 0	 0
-1	19	8	26	-158.00	 0	 0	 0
-1	20	9	29	-162.00	 0	 0	 0
 0	20	101	72	35	-162.00	 0	 0
-1	22	11	19	-166.00	 0	 0	 0
 0	22	106	77	35	-166.00	 0	 0
 0	22	107	78	29	-166.00	 1	 0
-1	23	12	29	-205.00	 0	 0	 0
 0	23	110	81	35	-205.00	 0	 0
-1	24	13	27	-205.00	 0	 0	 0
-1	25	14	11	-129.00	 0	 0	 0
 0	25	115	86	35	-129.00	 0	 0
 0	25	116	87	29	-129.00	 1	 0
-1	26	15	29	-167.00	 0	 0	 0
 0	26	119	90	35	-167.00	 0	 0
-1	27	16	27	-167.00	 0	 0	 0
-1	28	17	3	-152.00	 0	 0	 0
 0	28	124	95	35	-152.00	 0	 0
 0	28	125	96	29	-152.00	 1	 0
-1	29	18	29	-158.00	 0	 0	 0
 0	29	128	99	35	-158.00	 0	 0
-1	30	19	27	-158.00	 0	 0	 0
-1	31	20	32	-164.00	 0	 0	 0
-1	32	20	30	-160.00	 0	 0	 0
-1	33	22	20	-165.00	 0	 0	 0
-1	34	22	32	-168.00	 0	 0	 0
-1	35	22	30	-164.00	 0	 0	 0
-1	36	23	32	-207.00	 0	 0	 0
-1	37	23	30	-203.00	 0	 0	 0
-1	38	24	24	-203.00	 0	 0	 0
-1	39	25	12	-127.00	 0	 0	 0
-1	40	25	32	-131.00	 0	 0	 0
-1	41	25	30	-127.00	 0	 0	 0
-1	42	26	32	-169.00	 0	 0	 0
-1	43	26	30	-165.00	 0	 0	 0
-1	44	27	24	-165.00	 0	 0	 0
-1	45	28	4	-171.00	 0	 0	 0
